City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,sinhyeon,34.8825,128.6267,281.33,42,96,3.72,KR,1733817446
168,pokhara,28.2333,83.9833,290.96,24,0,2.31,NP,1733817446
169,trincomalee,8.5711,81.2335,300.94,74,88,6.91,LK,1733817447
170,saint-philippe,-21.3585,55.7679,299.07,79,97,5.88,RE,1733817447
171,kievka,50.2619,71.5514,253.64,93,8,2.71,KZ,1733817447
172,tejen,37.3834,60.5054,279.14,32,99,2.27,TM,1733817447
173,marshall,34.3834,-86.3333,292.01,88,100,3.09,US,1733817447
174,atafu village,-8.5421,-172.5159,301.47,72,68,2.99,TK,1733817447
175,san patricio,28.017,-97.5169,287.12,93,52,1.93,US,1733817447
176,sohar,24.3643,56.7468,298.1,39,96,2.6,OM,1733817448
177,beira,-19.8436,34.8389,304.2,84,40,2.24,MZ,1733817448
178,valentin gomez farias,28.2167,-106.5833,280.25,20,25,3.16,MX,1733817448
179,sosnovo-ozerskoye,52.5249,111.5418,256.63,88,100,7.1,RU,1733817448
180,el granada,37.5027,-122.4694,287.47,31,20,5.14,US,1733817448
181,terrace,54.5163,-128.6035,274.1,100,100,0.0,CA,1733817448
182,gornozavodsk,58.3758,58.3211,266.54,93,100,4.03,RU,1733817340
183,sisimiut,66.9395,-53.6735,266.89,83,100,4.73,GL,1733817449
184,hawaiian paradise park,19.5933,-154.9731,295.22,91,100,4.12,US,1733817449
185,la punta,-33.1837,-66.3127,291.47,59,0,5.64,AR,1733817449
186,onega,63.9061,38.1404,272.24,88,100,6.28,RU,1733817449
187,freetown,8.484,-13.2299,297.99,73,75,2.57,SL,1733817424
188,jinchang,38.4953,102.1739,268.5,64,99,4.41,CN,1733817450
189,copiapo,-27.3667,-70.3333,288.1,73,100,1.28,CL,1733817450
190,nagqu,31.5,92.0,269.13,14,98,11.19,CN,1733817450
191,la'ie,21.6477,-157.9253,297.81,79,13,3.13,US,1733817450
192,dekalb,33.7504,-84.2333,291.22,89,100,3.09,US,1733817450
193,leh,34.1667,77.5833,263.84,32,100,2.36,IN,1733817450
194,sabang,5.8933,95.3214,300.36,79,87,4.95,ID,1733817450
195,dudinka,69.4058,86.1778,263.11,95,100,7.05,RU,1733817451
196,tazovsky,67.4667,78.7,263.42,94,100,6.31,RU,1733817451
197,charlton kings,51.8837,-2.0424,279.62,88,89,1.79,GB,1733817451
198,novyy urengoy,66.0833,76.6333,261.96,94,100,5.98,RU,1733817451
199,hermanus,-34.4187,19.2345,298.04,55,82,4.63,ZA,1733817451
200,malanje,-9.5402,16.341,293.11,94,100,1.99,AO,1733817451
201,puerto deseado,-47.7503,-65.8938,285.38,77,100,7.41,AR,1733817443
202,moose jaw,50.4001,-105.5344,270.29,86,97,5.66,CA,1733817452
203,pacific grove,36.6177,-121.9166,284.63,59,18,0.89,US,1733817452
204,jamestown,42.097,-79.2353,277.95,100,100,3.09,US,1733817452
205,taulaga,-11.0553,-171.0883,301.02,71,100,3.2,AS,1733817452
206,tan-tan,28.438,-11.1032,289.12,67,75,9.26,MA,1733817452
207,flying fish cove,-10.4217,105.6791,301.97,83,75,3.6,CX,1733817453
208,manicore,-5.8092,-61.3003,296.24,97,100,0.4,BR,1733817453
209,masuguru,-11.3667,38.4167,307.62,41,4,1.07,TZ,1733817453
210,tsiroanomandidy,-18.7667,46.0333,304.45,40,7,1.59,MG,1733817453
211,degache,33.9761,8.2081,280.33,49,99,2.57,TN,1733817453
212,sierra grande,-41.606,-65.3557,285.46,74,0,3.76,AR,1733817453
213,badger,64.8,-147.5333,270.1,91,75,2.06,US,1733817453
214,san antonio de pale,-1.4014,5.6325,299.24,83,100,3.05,GQ,1733817454
215,obonoma,4.7084,6.7931,300.99,68,100,1.46,NG,1733817454
216,xining,36.6167,101.7667,268.03,78,97,1.25,CN,1733817454
